LAMMPS data file. CGCMM style. atom_style charge generated by VMD/TopoTools v1.8 on Thu May 28 16:51:23 +0800 2026
 450 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 3 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -0.609499 28.610500  xlo xhi
 -0.600500 28.599501  ylo yhi
 -0.595500 28.604501  zlo zhi

# Pair Coeffs
#
# 1  C
# 2  H
# 3  O

 Masses

 1 12.010700 # C
 2 1.007940 # H
 3 15.999400 # O

 Atoms # charge

1 1 0.000000 24.320999 17.354000 4.732000 # C
2 2 0.000000 24.625999 16.329000 4.677000 # H
3 2 0.000000 24.480000 17.719000 5.726000 # H
4 2 0.000000 24.898001 17.934000 4.042000 # H
5 2 0.000000 23.283001 17.431999 4.485000 # H
6 1 0.000000 24.198999 3.922000 21.738001 # C
7 2 0.000000 23.357000 4.505000 22.048000 # H
8 2 0.000000 24.083000 2.916000 22.086000 # H
9 2 0.000000 24.261999 3.926000 20.670000 # H
10 2 0.000000 25.094000 4.341000 22.150000 # H
11 1 0.000000 25.094999 20.077999 11.964000 # C
12 2 0.000000 24.766001 20.841999 11.290000 # H
13 2 0.000000 25.622000 20.525999 12.781000 # H
14 2 0.000000 24.247000 19.542999 12.336000 # H
15 2 0.000000 25.745001 19.403000 11.447000 # H
16 1 0.000000 23.148001 16.408001 22.420000 # C
17 2 0.000000 23.851000 17.212999 22.351999 # H
18 2 0.000000 23.278999 15.750000 21.586000 # H
19 2 0.000000 23.311001 15.869000 23.329000 # H
20 2 0.000000 22.153999 16.802000 22.410999 # H
21 1 0.000000 25.976000 27.146000 17.388000 # C
22 2 0.000000 25.052999 27.684999 17.332001 # H
23 2 0.000000 26.358999 27.198000 18.386999 # H
24 2 0.000000 25.808001 26.122999 17.122999 # H
25 2 0.000000 26.684000 27.579000 16.712000 # H
26 1 0.000000 5.694000 22.974001 6.207000 # C
27 2 0.000000 5.293000 22.056999 5.826000 # H
28 2 0.000000 6.305000 22.767000 7.061000 # H
29 2 0.000000 6.285000 23.445999 5.450000 # H
30 2 0.000000 4.892000 23.622999 6.491000 # H
31 1 0.000000 0.958000 17.822001 25.056000 # C
32 2 0.000000 0.283000 18.636000 25.224001 # H
33 2 0.000000 1.248000 17.400000 25.996000 # H
34 2 0.000000 0.474000 17.073999 24.462999 # H
35 2 0.000000 1.826000 18.179001 24.542000 # H
36 1 0.000000 6.919000 14.703000 12.625000 # C
37 2 0.000000 6.284000 14.948000 11.798000 # H
38 2 0.000000 7.856000 15.208000 12.515000 # H
39 2 0.000000 6.451000 15.011000 13.536000 # H
40 2 0.000000 7.083000 13.646000 12.647000 # H
41 1 0.000000 19.330000 12.917000 4.344000 # C
42 2 0.000000 20.259001 12.653000 3.884000 # H
43 2 0.000000 19.056000 13.909000 4.049000 # H
44 2 0.000000 18.570999 12.230000 4.033000 # H
45 2 0.000000 19.434000 12.877000 5.408000 # H
46 1 0.000000 13.300000 13.702000 19.660999 # C
47 2 0.000000 12.664000 12.855000 19.819000 # H
48 2 0.000000 14.265000 13.504000 20.077999 # H
49 2 0.000000 13.394000 13.885000 18.611000 # H
50 2 0.000000 12.874000 14.560000 20.136999 # H
51 1 0.000000 18.061001 0.918000 23.316999 # C
52 2 0.000000 18.309999 1.820000 22.798000 # H
53 2 0.000000 17.865000 0.141000 22.608000 # H
54 2 0.000000 18.879000 0.631000 23.945000 # H
55 2 0.000000 17.190001 1.081000 23.917999 # H
56 1 0.000000 17.063999 9.839000 3.208000 # C
57 2 0.000000 17.222000 9.052000 3.916000 # H
58 2 0.000000 16.850000 10.749000 3.730000 # H
59 2 0.000000 17.945000 9.966000 2.614000 # H
60 2 0.000000 16.239000 9.589000 2.575000 # H
61 1 0.000000 15.886000 21.936001 1.090000 # C
62 2 0.000000 15.064000 21.353001 0.730000 # H
63 2 0.000000 16.246000 21.517000 2.007000 # H
64 2 0.000000 16.672001 21.930000 0.363000 # H
65 2 0.000000 15.564000 22.941999 1.259000 # H
66 1 0.000000 26.044001 9.532000 15.511000 # C
67 2 0.000000 25.079000 9.964000 15.346000 # H
68 2 0.000000 25.930000 8.569000 15.964000 # H
69 2 0.000000 26.552999 9.428000 14.575000 # H
70 2 0.000000 26.613001 10.166000 16.158001 # H
71 1 0.000000 11.983000 15.007000 0.983000 # C
72 2 0.000000 11.374000 14.130000 1.055000 # H
73 2 0.000000 11.363000 15.877000 1.042000 # H
74 2 0.000000 12.690000 15.016000 1.787000 # H
75 2 0.000000 12.505000 15.003000 0.049000 # H
76 1 0.000000 5.129000 26.242001 8.348000 # C
77 2 0.000000 6.118000 25.874001 8.528000 # H
78 2 0.000000 4.891000 26.990999 9.074000 # H
79 2 0.000000 5.081000 26.667000 7.367000 # H
80 2 0.000000 4.429000 25.437000 8.423000 # H
81 1 0.000000 4.260000 18.094000 3.390000 # C
82 2 0.000000 4.359000 18.266001 2.338000 # H
83 2 0.000000 4.056000 19.021000 3.885000 # H
84 2 0.000000 3.455000 17.410999 3.565000 # H
85 2 0.000000 5.170000 17.677999 3.771000 # H
86 1 0.000000 27.037001 21.625000 21.733999 # C
87 2 0.000000 26.843000 22.148001 20.820999 # H
88 2 0.000000 27.055000 22.322001 22.547001 # H
89 2 0.000000 26.266001 20.902000 21.900999 # H
90 2 0.000000 27.983000 21.129999 21.667999 # H
91 1 0.000000 20.098000 25.455999 5.013000 # C
92 2 0.000000 19.096001 25.787001 5.192000 # H
93 2 0.000000 20.410999 25.775999 4.041000 # H
94 2 0.000000 20.747999 25.875000 5.753000 # H
95 2 0.000000 20.136999 24.388000 5.067000 # H
96 1 0.000000 11.320000 0.828000 6.095000 # C
97 2 0.000000 12.002000 0.070000 5.770000 # H
98 2 0.000000 10.776000 1.203000 5.253000 # H
99 2 0.000000 10.636000 0.410000 6.804000 # H
100 2 0.000000 11.865000 1.627000 6.553000 # H
101 1 0.000000 8.490000 18.139000 6.576000 # C
102 2 0.000000 7.787000 17.509001 6.071000 # H
103 2 0.000000 9.280000 17.539000 6.977000 # H
104 2 0.000000 8.895000 18.847000 5.884000 # H
105 2 0.000000 7.998000 18.658001 7.371000 # H
106 1 0.000000 6.525000 11.293000 19.273001 # C
107 2 0.000000 5.534000 11.570000 19.566999 # H
108 2 0.000000 6.899000 10.546000 19.941999 # H
109 2 0.000000 6.506000 10.903000 18.277000 # H
110 2 0.000000 7.161000 12.153000 19.308001 # H
111 1 0.000000 3.179000 5.373000 4.855000 # C
112 2 0.000000 2.684000 6.293000 4.621000 # H
113 2 0.000000 2.501000 4.725000 5.370000 # H
114 2 0.000000 3.504000 4.903000 3.950000 # H
115 2 0.000000 4.026000 5.571000 5.479000 # H
116 1 0.000000 11.795000 15.560000 9.733000 # C
117 2 0.000000 12.533000 15.660000 8.965000 # H
118 2 0.000000 11.010000 16.268999 9.568000 # H
119 2 0.000000 11.391000 14.569000 9.713000 # H
120 2 0.000000 12.245000 15.742000 10.687000 # H
121 1 0.000000 24.229000 26.608000 2.055000 # C
122 2 0.000000 24.730000 27.549000 1.959000 # H
123 2 0.000000 24.837000 25.834999 1.633000 # H
124 2 0.000000 24.056999 26.400999 3.091000 # H
125 2 0.000000 23.292999 26.646999 1.539000 # H
126 1 0.000000 6.176000 24.681000 18.881001 # C
127 2 0.000000 6.776000 24.047001 18.261000 # H
128 2 0.000000 5.337000 25.035999 18.320000 # H
129 2 0.000000 5.831000 24.125999 19.728001 # H
130 2 0.000000 6.761000 25.513000 19.212999 # H
131 1 0.000000 12.787000 11.717000 0.663000 # C
132 2 0.000000 12.883000 10.729000 1.063000 # H
133 2 0.000000 12.719000 12.422000 1.466000 # H
134 2 0.000000 13.643000 11.942000 0.061000 # H
135 2 0.000000 11.904000 11.774000 0.062000 # H
136 1 0.000000 18.604000 3.454000 9.373000 # C
137 2 0.000000 18.827000 3.378000 10.417000 # H
138 2 0.000000 19.473000 3.198000 8.803000 # H
139 2 0.000000 17.806999 2.782000 9.130000 # H
140 2 0.000000 18.308001 4.456000 9.143000 # H
141 1 0.000000 9.116000 11.375000 6.298000 # C
142 2 0.000000 10.106000 11.409000 6.703000 # H
143 2 0.000000 8.492000 12.068000 6.823000 # H
144 2 0.000000 9.147000 11.637000 5.261000 # H
145 2 0.000000 8.720000 10.386000 6.404000 # H
146 1 0.000000 3.600000 1.158000 26.941999 # C
147 2 0.000000 2.873000 0.451000 26.600000 # H
148 2 0.000000 3.442000 2.096000 26.452000 # H
149 2 0.000000 3.501000 1.287000 28.000000 # H
150 2 0.000000 4.582000 0.798000 26.716000 # H
151 1 0.000000 2.332000 21.247999 18.865999 # C
152 2 0.000000 2.485000 21.674000 19.836000 # H
153 2 0.000000 1.991000 22.007000 18.194000 # H
154 2 0.000000 3.254000 20.840000 18.507000 # H
155 2 0.000000 1.598000 20.471001 18.929001 # H
156 1 0.000000 12.241000 9.617000 5.608000 # C
157 2 0.000000 12.723000 10.518000 5.925000 # H
